,0,1,2,3,4,5,6,7,8,9
47,0.2219340422172138,-1.8576008033306586,-3.1950609566762944,-3.7817104237196806,-3.971047952589778,-4.012669949412388,-3.990016351989402,-3.8483719909462946,-3.3477794049994682,-2.0922513103343645
48,0.1843381580661685,-1.5418279793470617,-2.6624448679687203,-3.1611270963136215,-3.324783873629285,-3.3613319057226683,-3.341253887694717,-3.21775676391492,-2.7903404312151885,-1.7365721337468119
49,0.1531329221631097,-1.2799408617173427,-2.218690106152263,-2.6423239976902324,-2.7836267111968955,-2.8156636159931687,-2.7979023757731354,-2.690401783982304,-2.3257782420629547,-1.4415913713542596
50,0.12722783908441215,-1.06270395132994,-1.8489600018976677,-2.2086208865037866,-2.3304938678087903,-2.3585301473019493,-2.3428474038664713,-2.2494142359745997,-1.9386109002729688,-1.1969054791819584
51,0.10571930437964738,-0.8824723964174623,-1.540896578271013,-1.8460685448241487,-1.9510771271875291,-1.9755738829804605,-1.9617511159509746,-1.88066172639052,-1.6159378927209604,-0.9939027903926622
52,0.08785841784251147,-0.732916517818957,-1.2842062882851049,-1.543002172878843,-1.6333923960517405,-1.6547645234811779,-1.6426021027162974,-1.5723218378330734,-1.3470097287269898,-0.8254531845877635
53,0.07302437065044387,-0.6087943386280052,-1.07031499186547,-1.2896677076440586,-1.367402465976489,-1.3860219797133406,-1.37533820519389,-1.3145050632196584,-1.1228692639725546,-0.685651835875575
54,0.06070243513659079,-0.5057636946498576,-0.8920806044340819,-1.0779091798567926,-1.1447009615963861,-1.1609003532346533,-1.1515304286033843,-1.0989391898326162,-0.9360528106320032,-0.56960755030816
55,0.0504657563733133,-0.42022699171661415,-0.7435537798285416,-0.9009071568463305,-0.9582475580157445,-0.9723231096852489,-0.964118072886846,-0.9187051382711353,-0.7803410776871541,-0.47326788135855175
56,0.04196028502624927,-0.34920289985912945,-0.6197785992744214,-0.7529599379202582,-0.8021461566271962,-0.8143611541468803,-0.8071867871228309,-0.768015883351846,-0.6505516403869428,-0.3932745908778673
57,0.03489230645902808,-0.2902202803722389,-0.5166265789765627,-0.629300525578395,-0.6714590548298452,-0.6820468598842108,-0.6757825968739937,-0.6420314434649685,-0.5423660185133746,-0.32684415632827696
58,0.029018116238688663,-0.24123046918771252,-0.4306584261422781,-0.5259435320876914,-0.5620512734634685,-0.571218227221677,-0.5657560783724306,-0.5367040641927923,-0.45218559476953774,-0.2716689571202324
59,0.024135470622439925,-0.20053472060963884,-0.3590089040870752,-0.4395571325980881,-0.47046015141003555,-0.47838829235961605,-0.47363179636948893,-0.4486486766886875,-0.37701156505235156,-0.22583553967733627
60,0.020076505268974643,-0.16672417571543008,-0.2992909425256607,-0.36735597292321465,-0.39378610932436214,-0.40063569625856416,-0.3964989128838183,-0.37503451122600945,-0.314344913239097,-0.18775699196356135
61,0.016701868744149806,-0.13863018096652624,-0.24951577510824396,-0.30701160742973,-0.32960114862447665,-0.33551298605849783,-0.3319195366309784,-0.31349441648081383,-0.26210307082859086,-0.15611697785170392
62,0.013895861387339892,-0.11528316253842519,-0.20802642430427198,-0.25657760120358086,-0.27587220847209726,-0.2809697765797904,-0.2778519382823069,-0.2620489965008808,-0.2185504784078658,-0.1298234097422315
63,0.011562406413816007,-0.09587857496438446,-0.17344230186963827,-0.21442689841598267,-0.23089696991640077,-0.23528836464576078,-0.2325862222108944,-0.21904314754150633,-0.18224072989433915,-0.10797009054245806
64,0.009621710101697545,-0.07974870073077156,-0.1446130663595775,-0.17919945037167478,-0.19325008725452317,-0.197029778829863,-0.194690435568039,-0.1830929707802267,-0.15196836721736193,-0.08980494685076831
65,0.00800749266687717,-0.06633929030824604,-0.12058018997698117,-0.14975842446887633,-0.1617381542131401,-0.16498857396268188,-0.1629654225754969,-0.1530413667383289,-0.12672871539207475,-0.07470371493126035
66,0.006664691875357676,-0.05519020761176563,-0.10054494589718832,-0.12515358960996845,-0.1353619870307168,-0.1381549535579929,-0.13640700602926678,-0.12792089341653795,-0.10568441651626742,-0.06214813882298726
67,0.005547558339372927,-0.04591939075460161,-0.08384174277034484,-0.10459070316731614,-0.11328503651387122,-0.11568303280047794,-0.11417430775084547,-0.10692270139730795,-0.08813754502477189,-0.05170790311106918
68,0.004618075407620381,-0.03820955751093891,-0.0699159126091442,-0.08740591671320033,-0.09480693385742531,-0.09686424706007578,-0.09556321226913042,-0.0893705527705641,-0.07350637301993551,-0.04302565758312864
69,0.0038446481065648186,-0.031797183638047954,-0.05830520774658332,-0.07304437846646702,-0.0793413364936909,-0.08110507207647157,-0.07998413938737887,-0.07469909281669147,-0.06130600987698239,-0.03580460221173536
70,0.003201015137591412,-0.02646336373582514,-0.04862438702388294,-0.06104234490104768,-0.06639737553282435,-0.06790835703464566,-0.0669434265289916,-0.06243567905300701,-0.051132269782400486,-0.029798192762504467
71,0.002665345832639332,-0.022026231698994536,-0.04055237501774345,-0.05101222648216902,-0.055564119713907636,-0.05685768495488355,-0.05602773509188835,-0.05218518581052743,-0.04264822872266582,-0.024801603220126568
72,0.0022194905070023196,-0.01833467347974249,-0.033821564427788164,-0.04263008662740703,-0.046497565760439244,-0.047604269690112985,-0.046890990018635115,-0.043617297553091974,-0.035573022301300404,-0.02064464394411432
73,0.0018483580563781743,-0.015263110915029188,-0.028208903615514647,-0.03562519173243245,-0.038909744603180765,-0.0398559783282916,-0.039243441379734935,-0.0364558836937661,-0.02967251062638185,-0.01718588631342923
74,0.0015393991219809777,-0.012707173421631524,-0.023528471138157148,-0.029771275966855082,-0.03255959959455261,-0.03336813442563509,-0.03284250346146962,-0.030470114227747674,-0.02475149887999662,-0.014307787490644163
75,0.0012821768552839785,-0.010580105830513276,-0.019625288956030218,-0.02487923963620184,-0.02724534868430305,-0.02793581333277722,-0.02748508273532042,-0.025467031200571977,-0.02064725414060514,-0.011912644395133974
76,0.0010680103849836087,-0.008809786695437083,-0.016370167496255306,-0.02079104598248982,-0.022798089309453526,-0.023387387667948692,-0.023001152913452668,-0.02128533763557494,-0.01722410231611702,-0.009919235310129015
77,0.000889678630301205,-0.007336252924758924,-0.013655410315579708,-0.017374619830146598,-0.019076443941952417,-0.01957912020348119,-0.019248374531005703,-0.0177902045377802,-0.014368925107175457,-0.008260031823805292
